,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
BUT beta-lactamase,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(2'),0,0,0,0,0,3,0,2,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,3,3,0,1,0,0,17,0,1,2
ALG11 beta-lactamase,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSA beta-lactamase,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAC beta-lactamase,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
streptogramin vgb lyase,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Subclass B1 Vibrio cholerae varG beta-lactamase,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM beta-lactamase,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHD beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFM beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLN beta-lactamase,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0
ANT(9),0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
class A Bacillus anthracis Bla beta-lactamase,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,12,7,0,0,0
VEB beta-lactamase,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
VIM beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
PJM beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,1,0
intrinsic colistin resistant phosphoethanolamine transferase,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,51,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,8,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,0
LEN beta-lactamase,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0
CfiA beta-lactamase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
fosC phosphotransferase family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,1,4,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,18,2,1,0,0
AST Beta-lactamase,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
SHV beta-lactamase,0,0,0,0,0,0,0,1,0,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,13,0,0,0
Bleomycin resistant protein,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,7,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,18,0,0,0,1,0,6,0,0,0,0,1,6,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
GES beta-lactamase,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
SPN79 beta-lactamase,0,0,0,0,0,0,0,14,0,11,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH(2''),0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
SME beta-lactamase,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,11,0,0,0
L1 family beta-lactamase,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIA beta-lactamase,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class A LRA beta-lactamase,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tunicamycin resistance protein,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mgt macrolide glycotransferase,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,0,1,0,11,0,0,0,0,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
EVM beta-lactamase,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edeine acetyltransferase,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGM beta-lactamase,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
ADC beta-lactamase without carbapenemase activity,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,9,0,0,1,0,1,1,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0
blaF family beta-lactamase,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IMI beta-lactamase,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,30,0,5,0,0,0,4,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,2,1,2,7,22,0,1,0,6,9,0,0,0,0,2,0,1,0,0,65,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,38,0,0,0,0,1,7,2,0,1,0,0,0,3,0,0,0,169,2,0,0,0
